date,product_name,day_of_week,season_encoded,previous_sales,quantity_sold
2025-03-16,Cow Milk,6,1,99,123
2025-03-17,Cow Milk,0,1,123,123
2025-03-18,Cow Milk,1,1,123,130
2025-03-19,Cow Milk,2,1,130,136
2025-03-20,Cow Milk,3,1,136,144
2025-03-21,Cow Milk,4,1,144,145
2025-03-22,Cow Milk,5,1,145,161
2025-03-23,Cow Milk,6,1,161,191
2025-03-24,Cow Milk,0,1,191,183
2025-03-25,Cow Milk,1,1,183,169
2025-03-26,Cow Milk,2,1,169,172
2025-03-27,Cow Milk,3,1,172,183
2025-03-28,Cow Milk,4,1,183,189
2025-03-29,Cow Milk,5,1,189,195
2025-03-30,Cow Milk,6,1,195,205
2025-03-31,Cow Milk,0,1,205,202
2025-04-01,Cow Milk,1,1,202,214
2025-04-02,Cow Milk,2,1,214,228
2025-04-03,Cow Milk,3,1,228,237
2025-04-04,Cow Milk,4,1,237,246
2025-04-05,Cow Milk,5,1,246,266
2025-04-06,Cow Milk,6,1,266,287
2025-04-07,Cow Milk,0,1,287,298
2025-04-08,Cow Milk,1,1,298,279
2025-04-09,Cow Milk,2,1,279,299
2025-04-10,Cow Milk,3,1,299,327
2025-04-11,Cow Milk,4,1,327,301
2025-04-12,Cow Milk,5,1,301,303
2025-04-13,Cow Milk,6,1,303,287
2025-04-14,Cow Milk,0,1,287,300
2025-04-15,Cow Milk,1,1,300,280
2025-04-16,Cow Milk,2,1,280,255
2025-04-17,Cow Milk,3,1,255,275
2025-04-18,Cow Milk,4,1,275,290
2025-04-19,Cow Milk,5,1,290,327
2025-04-20,Cow Milk,6,1,327,328
2025-04-21,Cow Milk,0,1,328,305
2025-04-22,Cow Milk,1,1,305,331
2025-04-23,Cow Milk,2,1,331,317
2025-04-24,Cow Milk,3,1,317,332
2025-04-25,Cow Milk,4,1,332,333
2025-04-26,Cow Milk,5,1,333,376
2025-04-27,Cow Milk,6,1,376,396
2025-04-28,Cow Milk,0,1,396,361
2025-04-29,Cow Milk,1,1,361,354
2025-04-30,Cow Milk,2,1,354,371
2025-05-01,Cow Milk,3,1,371,394
2025-05-02,Cow Milk,4,1,394,378
2025-05-03,Cow Milk,5,1,378,432
2025-05-04,Cow Milk,6,1,432,449
2025-05-05,Cow Milk,0,1,449,446
2025-05-06,Cow Milk,1,1,446,433
2025-05-07,Cow Milk,2,1,433,405
2025-05-08,Cow Milk,3,1,405,387
2025-05-09,Cow Milk,4,1,387,424
2025-05-10,Cow Milk,5,1,424,402
2025-05-11,Cow Milk,6,1,402,396
2025-05-12,Cow Milk,0,1,396,403
2025-05-13,Cow Milk,1,1,403,372
2025-05-14,Cow Milk,2,1,372,379
2025-05-15,Cow Milk,3,1,379,376
2025-05-16,Cow Milk,4,1,376,395
2025-05-17,Cow Milk,5,1,395,445
2025-05-18,Cow Milk,6,1,445,480
2025-05-19,Cow Milk,0,1,480,448
2025-05-20,Cow Milk,1,1,448,419
2025-05-21,Cow Milk,2,1,419,451
2025-05-22,Cow Milk,3,1,451,463
2025-05-23,Cow Milk,4,1,463,486
2025-05-24,Cow Milk,5,1,486,533
2025-05-25,Cow Milk,6,1,533,504
2025-05-26,Cow Milk,0,1,504,479
2025-05-27,Cow Milk,1,1,479,453
2025-05-28,Cow Milk,2,1,453,489
2025-05-29,Cow Milk,3,1,489,486
2025-05-30,Cow Milk,4,1,486,476
2025-05-31,Cow Milk,5,1,476,460
2025-06-01,Cow Milk,6,2,460,491
2025-06-02,Cow Milk,0,2,491,570
2025-06-03,Cow Milk,1,2,570,574
2025-06-04,Cow Milk,2,2,574,609
2025-06-05,Cow Milk,3,2,609,636
2025-06-06,Cow Milk,4,2,636,716
2025-06-07,Cow Milk,5,2,716,760
2025-06-08,Cow Milk,6,2,760,809
2025-06-09,Cow Milk,0,2,809,843
2025-06-10,Cow Milk,1,2,843,903
2025-06-11,Cow Milk,2,2,903,971
2025-06-12,Cow Milk,3,2,971,998
2025-06-13,Cow Milk,4,2,998,1030
2025-06-14,Cow Milk,5,2,1030,1002
2025-06-15,Cow Milk,6,2,1002,1129
2025-06-16,Cow Milk,0,2,1129,1096
2025-06-17,Cow Milk,1,2,1096,1072
2025-06-18,Cow Milk,2,2,1072,1035
2025-06-19,Cow Milk,3,2,1035,1028
2025-06-20,Cow Milk,4,2,1028,1130
2025-06-21,Cow Milk,5,2,1130,1266
2025-06-22,Cow Milk,6,2,1266,1197
2025-06-23,Cow Milk,0,2,1197,1240
2025-06-24,Cow Milk,1,2,1240,1264
2025-06-25,Cow Milk,2,2,1264,1260
2025-06-26,Cow Milk,3,2,1260,1311
2025-06-27,Cow Milk,4,2,1311,1402
